model,prompt_type,ttft_sec,total_latency_sec,approx_output_chars,approx_output_tokens,approx_tokens_per_sec,output_preview,run
deepseek-chat,simple,0.7947794249994331,2.609570648000954,292,104.28571428571429,39.96278635552624,"REST API는 HTTP 기반으로 클라이언트가 요청을 보내면 서버가 응답하는 단방향 통신 방식입니다. 주로 CRUD 작업에 사용되며, 상태를 저장하지 않는 무상태성(stateless)이 특징입니다. 반면 WebSo",1
deepseek-chat,simple,0.5540879600011976,2.3719643660006113,286,102.14285714285715,43.062559710827806,"REST API는 HTTP 프로토콜을 기반으로 클라이언트가 요청을 보내면 서버가 응답하는 단방향 통신 방식입니다. 요청-응답 구조로, 실시간성이 낮고 주로 CRUD 작업에 사용됩니다. 반면 WebSocket은 양방향",2
deepseek-chat,simple,0.8115059770007065,2.7981449810013146,320,114.28571428571429,40.84338555067194,"REST API는 HTTP 프로토콜 기반으로 클라이언트가 요청을 보내면 서버가 응답하는 단방향 통신 방식입니다. 요청-응답 구조로 상태를 저장하지 않으며(Stateless), 주로 CRUD 작업에 사용됩니다.  반면",3
deepseek-chat,simple,0.5298568580001302,2.559899874000621,286,102.14285714285715,39.901114172574225,"REST API는 HTTP 프로토콜을 기반으로 클라이언트가 요청을 보내면 서버가 응답하는 단방향 통신 방식입니다. 요청-응답 모델로, 실시간성이 낮고 매 요청마다 연결을 맺고 끊습니다. 반면 WebSocket은 TC",4
deepseek-chat,simple,0.7155192420013918,1.8646738410006947,223,79.64285714285715,42.71141439948343,"REST API는 HTTP 기반 요청-응답 방식으로, 클라이언트가 요청을 보내면 서버가 응답을 반환합니다. 연결이 지속되지 않으며, 실시간 통신에 부적합합니다. 반면 WebSocket은 양방향 실시간 통신을 지원하는",5
deepseek-chat,reasoning,0.4311564689996885,8.623169233000226,1497,534.6428571428572,62.0007380925355,## 주식 자동매매 시스템 API 분리 설계 기준  ### 1. **데이터 특성 기준 분리**  #### 1.1 실시간성 (Latency Sensitivity) - **실시간 시세 API**: 밀리초 단위 응답 필요,1
deepseek-chat,reasoning,0.44688474500071607,8.937894607000999,1426,509.28571428571433,56.98050118948527,## 주식 자동매매 시스템 API 분리 설계 기준  ### 1. **데이터 특성 기준 분리**  #### 실시간 시세 API - **특성**: 초단위/밀리초 단위의 고빈도 데이터 - **설계 기준**:   - Web,2
deepseek-chat,reasoning,0.6308857270014414,8.918837481000082,1374,490.7142857142857,55.01998290244226,"## 주식 자동매매 시스템 API 분리 설계 기준  ### 1. **데이터 특성 기준 분리**  #### 1.1 실시간성 요구사항 - **실시간 시세 API**: 밀리초 단위 응답 필요, WebSocket/Serve",3
deepseek-chat,reasoning,0.6352912160000415,9.300771095000528,1419,506.78571428571433,54.48856972279733,"## 주식 자동매매 시스템 API 분리 설계 기준  ### 1. **데이터 특성 기준 분리**  #### 1.1 실시간성 요구사항 - **실시간 시세 API**: 밀리초 단위 응답 필요, WebSocket/Serve",4
deepseek-chat,reasoning,0.5803299310009606,9.455637486000342,1373,490.3571428571429,51.8587079488979,## 주식 자동매매 시스템 API 분리 설계 분석  ### 1. 데이터 특성에 따른 분리 기준  **실시간 시세 API** - **특성**: 초단위/밀리초 단위의 고빈도 데이터 - **분리 이유**:    - Web,5
