model,visible_in_models_list,callable,status,latency_sec,error_code,error_type,error_message
gpt-5.5,True,False,ERROR,3.183657695997681,,,"Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
gpt-5.4-mini,True,False,ERROR,2.408765994001442,,,"Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
gpt-5.4-nano,True,False,ERROR,2.5898809889986296,,,"Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
gpt-5.1,True,False,ERROR,2.673035569001513,,,"Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
gpt-5.1-mini,False,False,ERROR,0.2622160829996574,,,"Error code: 400 - {'error': {'message': ""The requested model 'gpt-5.1-mini' does not exist."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}"
gpt-5.1-nano,False,False,ERROR,5.256589459997485,,,"Error code: 400 - {'error': {'message': ""The requested model 'gpt-5.1-nano' does not exist."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}"
gpt-4.1,True,False,ERROR,0.20443303100182675,,,"Error code: 400 - {'error': {'message': ""Unsupported parameter: 'reasoning.effort' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'reasoning.effort', 'code': 'unsupported_parameter'}}"
gpt-4.1-mini,True,False,ERROR,0.22304351500133635,,,"Error code: 400 - {'error': {'message': ""Unsupported parameter: 'reasoning.effort' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'reasoning.effort', 'code': 'unsupported_parameter'}}"
gpt-4.1-nano,True,False,ERROR,0.2052093269994657,,,"Error code: 400 - {'error': {'message': ""Unsupported parameter: 'reasoning.effort' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'reasoning.effort', 'code': 'unsupported_parameter'}}"
gpt-4o,True,False,ERROR,0.20877790399754304,,,"Error code: 400 - {'error': {'message': ""Unsupported parameter: 'reasoning.effort' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'reasoning.effort', 'code': 'unsupported_parameter'}}"
gpt-4o-mini,True,False,ERROR,0.2045623819976754,,,"Error code: 400 - {'error': {'message': ""Unsupported parameter: 'reasoning.effort' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'reasoning.effort', 'code': 'unsupported_parameter'}}"
